device,eastern_time,var,name,value
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:20:37 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:25:33 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:25:35 2019,air_carbon_dioxide_ppm,T6713-Top,662.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:25:38 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:30:34 2019,air_carbon_dioxide_ppm,T6713-Top,658.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:30:36 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:30:36 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:35:35 2019,air_carbon_dioxide_ppm,T6713-Top,659.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:35:37 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:35:37 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:40:34 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:40:35 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:40:39 2019,air_carbon_dioxide_ppm,T6713-Top,659.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:45:37 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:45:38 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:45:39 2019,air_carbon_dioxide_ppm,T6713-Top,652.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:50:35 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:50:36 2019,air_carbon_dioxide_ppm,T6713-Top,643.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:50:37 2019,air_humidity_percent,SHT25-Top,16.00
