device,eastern_time,var,URL
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 13:02:47 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T17%3A02%3A47Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 14:02:51 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T18%3A02%3A51Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 15:02:59 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T19%3A02%3A59Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 17:06:58 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T21%3A06%3A57Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 18:07:08 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T22%3A07%3A07Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 19:07:11 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T23%3A07%3A10Z.png
EDU-366918C9-50-65-83-d5-51-e5,Tue Mar 12 13:10:00 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-12T17%3A09%3A59Z.png
EDU-366918C9-50-65-83-d5-51-e5,Tue Mar 12 14:10:08 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-12T18%3A10%3A08Z.png
EDU-366918C9-50-65-83-d5-51-e5,Tue Mar 12 15:10:15 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-12T19%3A10%3A14Z.png
EDU-366918C9-50-65-83-d5-51-e5,Wed Mar 13 12:07:25 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-13T16%3A07%3A25Z.png
EDU-366918C9-50-65-83-d5-51-e5,Wed Mar 13 13:07:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-13T17%3A07%3A28Z.png
EDU-366918C9-50-65-83-d5-51-e5,Wed Mar 13 14:07:37 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-13T18%3A07%3A37Z.png
EDU-366918C9-50-65-83-d5-51-e5,Wed Mar 13 15:07:36 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-13T19%3A07%3A36Z.png
EDU-366918C9-50-65-83-d5-51-e5,Wed Mar 13 17:06:55 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-366918C9-50-65-83-d5-51-e5_Camera-Top_2019-03-13T21%3A06%3A54Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 09:28:07 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T13%3A28%3A07Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 10:28:14 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T14%3A28%3A14Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 12:28:35 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T16%3A28%3A35Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 13:28:31 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T17%3A28%3A31Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 14:28:37 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T18%3A28%3A37Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 15:23:44 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T19%3A23%3A43Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 15:23:44 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T19%3A23%3A43Z.png
